1472323614,netapp-02,n2_aggr0,376181,334807,41373,89 
1472323614,netapp-02,n2_aggr1,29718342,22524906,7193435,76 
1472325434,netapp-02,n2_aggr0,376181,334807,41373,89 
1472325434,netapp-02,n2_aggr1,29718342,22501337,7217005,76 
1472327255,netapp-02,n2_aggr0,376181,334807,41373,89 
1472327255,netapp-02,n2_aggr1,29718342,22537771,7180571,76 
1472329077,netapp-02,n2_aggr0,376181,334809,41372,89 
1472329077,netapp-02,n2_aggr1,29718342,22513887,7204454,76 
1472330898,netapp-02,n2_aggr0,376181,334807,41373,89 
1472330898,netapp-02,n2_aggr1,29718342,22549518,7168823,76 
1472331676,netapp-02,n2_aggr0,376181,334807,41373,89 
1472331676,netapp-02,n2_aggr1,29718342,22546578,7171763,76 
1472333500,netapp-02,n2_aggr0,376181,334807,41373,89 
1472333500,netapp-02,n2_aggr1,29718342,22507164,7211177,76 
1472335321,netapp-02,n2_aggr0,376181,334807,41373,89 
1472335321,netapp-02,n2_aggr1,29718342,22541499,7176843,76 
1472337141,netapp-02,n2_aggr0,376181,334807,41373,89 
1472337141,netapp-02,n2_aggr1,29718342,22518728,7199613,76 
1472338963,netapp-02,n2_aggr0,376181,334807,41373,89 
1472338963,netapp-02,n2_aggr1,29718342,22552189,7166153,76 
1472340784,netapp-02,n2_aggr0,376181,334807,41373,89 
1472340784,netapp-02,n2_aggr1,29718342,22525331,7193011,76 
1472342606,netapp-02,n2_aggr0,376181,334807,41373,89 
1472342606,netapp-02,n2_aggr1,29718342,22559430,7158911,76 
1472344428,netapp-02,n2_aggr0,376181,334807,41373,89 
1472344428,netapp-02,n2_aggr1,29718342,22536716,7181625,76 
1472346248,netapp-02,n2_aggr0,376181,334807,41373,89 
1472346248,netapp-02,n2_aggr1,29718342,22571467,7146874,76 
1472348069,netapp-02,n2_aggr0,376181,334807,41373,89 
1472348069,netapp-02,n2_aggr1,29718342,22544139,7174202,76 
1472349890,netapp-02,n2_aggr0,376181,334807,41373,89 
1472349890,netapp-02,n2_aggr1,29718342,22578509,7139833,76 
1472351713,netapp-02,n2_aggr0,376181,334807,41373,89 
1472351713,netapp-02,n2_aggr1,29718342,22555548,7162793,76 
1472353534,netapp-02,n2_aggr0,376181,334807,41373,89 
1472353534,netapp-02,n2_aggr1,29718342,22589125,7129217,76 
1472355356,netapp-02,n2_aggr0,376181,334807,41373,89 
1472355356,netapp-02,n2_aggr1,29718342,22567508,7150833,76 
1472357177,netapp-02,n2_aggr0,376181,334807,41373,89 
1472357177,netapp-02,n2_aggr1,29718342,22598273,7120068,76 
1472359001,netapp-02,n2_aggr0,376181,334807,41373,89 
1472359001,netapp-02,n2_aggr1,29718342,20513322,9205019,69 
1472360830,netapp-02,n2_aggr0,376181,334807,41373,89 
1472360830,netapp-02,n2_aggr1,29718342,20524382,9193959,69 
1472362654,netapp-02,n2_aggr0,376181,334807,41373,89 
1472362654,netapp-02,n2_aggr1,29718342,20536304,9182037,69 
1472364477,netapp-02,n2_aggr0,376181,334807,41373,89 
1472364477,netapp-02,n2_aggr1,29718342,20575806,9142535,69 
1472366300,netapp-02,n2_aggr0,376181,334807,41373,89 
1472366300,netapp-02,n2_aggr1,29718342,20592666,9125676,69 
1472368123,netapp-02,n2_aggr0,376181,334807,41373,89 
1472368123,netapp-02,n2_aggr1,29718342,20549443,9168899,69 
1472369946,netapp-02,n2_aggr0,376181,334831,41349,89 
1472369946,netapp-02,n2_aggr1,29718342,20597753,9120589,69 
1472371769,netapp-02,n2_aggr0,376181,334807,41373,89 
1472371769,netapp-02,n2_aggr1,29718342,20632689,9085653,69 
1472373591,netapp-02,n2_aggr0,376181,334807,41373,89 
1472373591,netapp-02,n2_aggr1,29718342,20671974,9046367,70 
1472375412,netapp-02,n2_aggr0,376181,334807,41373,89 
1472375412,netapp-02,n2_aggr1,29718342,20670167,9048175,70 
1472377235,netapp-02,n2_aggr0,376181,334807,41373,89 
1472377235,netapp-02,n2_aggr1,29718342,20708608,9009734,70 
1472379057,netapp-02,n2_aggr0,376181,334807,41373,89 
1472379057,netapp-02,n2_aggr1,29718342,20688189,9030152,70 
1472380878,netapp-02,n2_aggr0,376181,334807,41373,89 
1472380878,netapp-02,n2_aggr1,29718342,20722542,8995800,70 
1472382701,netapp-02,n2_aggr0,376181,334807,41373,89 
1472382701,netapp-02,n2_aggr1,29718342,20714109,9004232,70 
1472384526,netapp-02,n2_aggr0,376181,334807,41373,89 
1472384526,netapp-02,n2_aggr1,29718342,20749257,8969084,70 
1472386347,netapp-02,n2_aggr0,376181,334807,41373,89 
1472386347,netapp-02,n2_aggr1,29718342,20731439,8986902,70 
1472388169,netapp-02,n2_aggr0,376181,334807,41373,89 
1472388169,netapp-02,n2_aggr1,29718342,20764808,8953533,70 
1472389990,netapp-02,n2_aggr0,376181,334823,41357,89 
1472389990,netapp-02,n2_aggr1,29718342,20743718,8974623,70 
1472391812,netapp-02,n2_aggr0,376181,334807,41373,89 
1472391812,netapp-02,n2_aggr1,29718342,20777856,8940486,70 
1472393634,netapp-02,n2_aggr0,376181,334807,41373,89 
1472393634,netapp-02,n2_aggr1,29718342,20760544,8957797,70 
1472395456,netapp-02,n2_aggr0,376181,334807,41373,89 
1472395456,netapp-02,n2_aggr1,29718342,20795027,8923315,70 
1472397277,netapp-02,n2_aggr0,376181,334807,41373,89 
